"","X","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se","JB_pval"
"1","data/_CON.DE.csv",1,4521,0.000541655837045108,0.0253035531963043,0.00058083649108287,0.000757594032954965,0.0172681415339433,-0.28176816459956,0.234419651061514,0.516187815661074,-0.0588833165998862,10.0146067192464,0.000376326028122163,0
"2","data/1COV.DE.csv",1,571,0.00212068334286806,0.0209297017916088,0.00290888772820619,0.00263131672186357,0.0174340401820033,-0.118651973862057,0.0784650163128808,0.197116990174938,-0.505763318292433,3.43653623701829,0.000875880759709246,0
"3","data/ADS.DE.csv",1,4611,0.000474433457685914,0.0199616611263746,0.000230714198999671,0.000554522500401136,0.0145750744246711,-0.174766923136806,0.145192424829579,0.319959347966384,-0.224136196559927,6.69530484997278,0.000293967363614693,0
"4","data/ALV.DE.csv",1,4601,-0.000122462399703509,0.0232812674547901,0.000367196638253908,0.00014416040033458,0.0147475765080284,-0.172541546167833,0.161190581928038,0.333732128095871,-0.264129205028949,8.47888099319612,0.000343226256355527,0
"5","data/BAS.DE.csv",1,4611,0.000273294957865596,0.0188525534281595,0.000773779953491704,0.000605762094256778,0.013995860617351,-0.176511648148695,0.143316696030795,0.31982834417949,-0.372712560960638,6.40551320526199,0.000277633980137992,0
"6","data/BAYN.DE.csv",1,4611,0.000164917096911241,0.0208867176926252,0.000197608463882393,0.000406201901350863,0.0150856963300299,-0.15829677619185,0.33714905559798,0.49544583178983,0.821721506677619,23.2090750897298,0.000307590300015305,0
"7","data/BEI.DE.csv",1,4607,0.000322984383436166,0.0178837650828816,0.000148386611870777,0.000314972641761614,0.012605364057625,-0.128174486656831,0.164987364262032,0.293161850918862,0.143235052524249,6.85051886440809,0.000263481332006605,0
"8","data/BMW.DE.csv",1,4611,0.000224815123372068,0.0220836871459552,0,0.000338789511981222,0.0161712757060818,-0.17196643467875,0.154875529423787,0.326841964102537,-0.310493606143721,5.36885566226816,0.000325217588260261,0
"9","data/CBK.DE.csv",1,4611,-0.000686260581015561,0.0305808631211019,-0.000829531362375402,-0.000708677302214211,0.0199559061594011,-0.262263044770052,0.204628700650691,0.466891745420742,-0.0917471301183187,8.13100075420716,0.000450352085022338,0
"10","data/DAI.DE.csv",1,4611,-2.43601701919838e-05,0.0219715505822857,0.000269923088941582,0.000248415185067915,0.0166900307076475,-0.178769155189586,0.12473678895571,0.303505944145296,-0.301751739247818,3.94325533506569,0.000323566198139066,0
"11","data/DB1.DE.csv",1,4320,0.000230039434549642,0.0231436913263341,0.000541252159121708,0.000564612791148421,0.0154418105016445,-0.675163416077265,0.148866783055677,0.824030199132942,-5.84551113197194,170.354140004864,0.000352120050093607,0
"12","data/DBK.DE.csv",1,4611,-0.000307850747171894,0.0260378985445292,0,-0.000162081958261432,0.0183750959884842,-0.209807280873166,0.164159342863186,0.373966623736352,-0.145549312763139,7.47898123100986,0.000383449670883791,0
"13","data/DPW.DE.csv",1,4377,0.000146996821719244,0.0186940185059158,0.000437924246105226,0.000428410372630639,0.0139026057135495,-0.179424932856076,0.132733626327725,0.312158559183801,-0.663983752456868,8.06298621606608,0.000282562415805023,0
"14","data/DTE.DE.csv",1,4611,-0.000343541160104593,0.02097228454784,0,-0.000166600730160511,0.0131096973379532,-0.145496560682796,0.181512167838396,0.327008728521192,0.0775687325787975,6.35161754493875,0.000308850408714729,0
"15","data/EOAN.DE.csv",1,4608,-0.00010781111999998,0.0197704540196389,0.000168436380683312,9.18800240935271e-05,0.0142585835591402,-0.24606059204933,0.162614625010972,0.408675217060302,-0.502034537729138,9.97773095564835,0.000291246293842157,0
"16","data/FME.DE.csv",1,4611,0.000240441635955861,0.0496148340465038,0.00025965459851518,0.000391808685356046,0.0130794382943494,-2.2454396026553,2.18694573715653,4.43238533981183,-1.53141031412072,1725.77623175902,0.000730657727755957,0
"17","data/FRE.DE.csv",1,4611,0.000301154154436466,0.0241260041610899,0.000135009149811793,0.000495692415686031,0.0146632737293112,-0.684393290548648,0.431174073004416,1.11556736355306,-4.78565167376475,183.923149403676,0.000355293970421229,0
"18","data/HEI.DE.csv",1,4611,5.838958238357e-05,0.023792129167431,0,8.9882031598028e-05,0.0168122259877079,-0.197864098363065,0.197435018479037,0.395299116842102,0.0233943572041329,7.15307938034317,0.000350377127527173,0
"19","data/HEN3.DE.csv",1,4591,0.000348136940050939,0.0776183714478927,0.000314451960445883,0.000393630823475689,0.0133877391981655,-1.11391690070549,1.10375613902924,2.21767303973473,0.100463803517477,186.876771484507,0.00114554163921888,0
"20","data/IFX.DE.csv",1,4561,-0.000234920788900004,0.0377761473218306,0,1.02617219799004e-05,0.0226036721059596,-0.297102524222491,0.180352520455388,0.477455044677879,-0.314425083525113,6.78219779269625,0.000559355132366285,0
"21","data/LHA.DE.csv",1,4611,5.14762410896705e-05,0.0223137611381707,0,0.000319592147825903,0.0172955947165461,-0.172612742666994,0.168539417279358,0.341152159946352,-0.300138696885718,4.75760740123981,0.000328605795509133,0
"22","data/LINU.DE.csv",1,41,0.00116470712106619,0.0123689964929491,0,0.00115639024076276,0.00927253113251967,-0.0221211665749745,0.0471278603475591,0.0692490269225337,0.834404549506198,2.94974022955617,0.00193171271309084,9.2667005741065e-06
"23","data/MRK.DE.csv",1,4611,0.00038653186109483,0.0192806567783314,0.000202315071399894,0.00043505951789131,0.0144139234657722,-0.137149490628039,0.116961857579343,0.254111348207382,-0.131330239679802,4.1735740021808,0.000283938486181248,0
"24","data/MUV2.DE.csv",1,4586,-7.83746134563067e-05,0.020766446771956,0,2.78318744727234e-05,0.0133515578099728,-0.216123408930794,0.12583554802059,0.341958956951384,-0.240059955784203,8.42794744220331,0.000306651552707834,0
"25","data/RWE.DE.csv",1,4582,-0.000184890477669477,0.0202185468204192,0.000181642507585567,-6.29177512731906e-05,0.014970957563525,-0.173830127208422,0.175727957807944,0.349558085016366,-0.139820966126974,6.84912701491225,0.000298691177976993,0
"26","data/SAP.DE.csv",1,4606,0.000176310316540613,0.0687385187785432,0,0.000138557247911487,0.014412829246914,-1.41596089316408,1.45055314143519,2.86651403459928,1.26466933575059,357.960323502835,0.00101283383863641,0
"27","data/SIE.DE.csv",1,4611,-1.57474681858151e-05,0.0238841402908423,0.000134427052200792,0.000235266350187405,0.0151876293319729,-0.385675875929588,0.384824322671418,0.770500198601006,-1.13372429239454,47.4978615660286,0.000351732138375278,0
"28","data/TKA.DE.csv",1,4611,-5.34525663097145e-05,0.0238573721197916,0.000436109925626038,0.000369031069300458,0.0186779547922299,-0.169161360442353,0.132231249413684,0.301392609856037,-0.295691404076981,3.56609892032285,0.00035133793427459,0
"29","data/VNA.DE.csv",1,1135,0.000930635210307344,0.0152476018904968,0.00114968755992795,0.000910659393123859,0.0114859056770061,-0.0625254214751276,0.139496905094374,0.202022326569501,0.722644749233614,8.70032930340145,0.000452588602965201,0
"30","data/VOW3.DE (1).csv",1,4569,0.000358577559229849,0.0252152972534605,0.000745754319824599,0.000630799733688692,0.0180890394938302,-0.374694136993797,0.170160911241454,0.544855048235251,-1.07505309064489,17.0008262882494,0.000373038377247733,0
